Names,Frequency %,Colors,Size (Max) in,Weight (Max) g,Genus,Family,Description
Gray-crowned Rosy-Finch,,"Gray, Black, Cinnamon, Red",6,,,Leucosticte tephrocotis,"Gray crown with a black forehead, chin and throat. Warm cinnamon-brown body with a wash of rosy red, especially along flanks and rumps."
Cassin's Finch,,"Brown, Gray, Black, White, Red",6.5,,,Carpodacus cassinii,"Light wash of crimson red, especially bright red crown, brown streaks on the back and wings, white belly."
Lark Sparrow,,"Brown, Red, White, Black, Gray",6.5,,,Chondestes grammacus,"All-brown bird with unique rust red, white and black head pattern. White breast with central gray spot. Gray rump and white edges to gray tail, as seen in flight."
White-crowned sparrow,,"Brown, Gray, Black, Pink",7.5,,,Zonotrichia leucophrys,"A brown sparrow with a gray breast and a black-and-white striped crown. Small, in pink bill."
Fox sparrow,,"Brown, Gray, White, Rust",7,,,Passerella iliaca,"Plump brown sparrow with a gray head, back and rump. White chest and belly with rusty brown streaks. Rusty tail and wings."
Horned Lark,,"Brown, Orange, Black, Yellow",8,,,Eremophila alpestris,"Brown with a slightly ornage nape of neck. brown necklace. Yellow chin and forehead. Black spots near eyes, behind black bill. Two tiny ""horns"" on head can be hard to see."
Cedar waxwing,,"Gray, Brown, Yellow, Black, Red",7.5,,,Bombycilla cedrorum,"Very sleek-looking gray-to-brown bird with pointed crest, light yellow belly and bandit-like mask. Tip of tail is bright yellow and the tips of wings look as if they have been dipped in red wax"
Spotted Sandpiper,,"Olive, Brown, Yellow, White",8,,,Actitis macularia,Olive brown back. Long bill and long dull yellow legs. White line over eyes. Breeding plumage has black spots on a white chest and belly. Winter has a clear chest and belly.
Black-headed Grosbeak,,"Brown, White",8,,,Pheucticus melanocephalus,"Appears like an overgrown sparrow. Overall brown with lighter-colored chest and belly, prominent white eyebrows and a large two-toned bill."
Comon nighthawk,,"Brown, White",9,,,Chordeiles minor,"A camouflaged brown and white bird with a white chin. A distinctive white band across wings and tail, seen only in flight."
Killdeer,,"Black, Brown, White, Red, Orange",11,,,Charadrius vociferus,"An upland shorebird with two black bands around the neck like a necklace. A brown back and white belly. Bright reddish orange rump, visable only in flight."
Pied-Billed Grebe,,"Brown, Black, Ivory, White",13,,,Podilymbus podiceps,"Small brown water bird with a black chin and black ring around a thick, chicken-like ivory bill. Puffy white patch under tail. Has an unmarkable brown bill during winter."
Green-winged Teal,,"Green, Chestnut, White, Gray, Yellow",15,,,Anas crecca,A chestnut head witha  dark green patch in back of eyes extending down to nape of neck and outlined in white. Gray body with a butter yellow tail. Green speculum.
Cinnamon Teal,,"Cinnamon, Brown, Gray, Red",16,,,Anas cyanoptera,"Deep cinnamon head, neck and belly. Light brown back. Dark gray bill. Deep red eyes. Non-breeding male is overall brown with red tinge."
Ruffed Grouse,,"Brown, Black",19,,,Bonasa umbellus,Brown chicken-like bird with long squared tail. Wide banc near tip of tail. Is able to fan tail like a turkey. Tuft of feathers on head stand like a crown. Black ruffs on sides of neck.
Wood Duck,,"Green, White, Black, Red",20,,,Aix sponsa,"Highly ornamented with a green head and crest patterned with white and black, rusty chest, white belly and red eyes."
American Wigeon,,"Brown, Black, White, Green, Gray",19,,,Anas americana,"A brown duck with a rounded head, a long pointed tail and short, black-tipped grayish bill. Obvious white cap. Deep green patch starting behind eyes, streaking down neck. White belly and wing linings, seen in flight. Non-breeding lacks white caps, green patch."
Northern Shoveler,,"Brown, Black, Green, White, Blue, Rust",20,,,Anas clypeata,"Medium-sized brown duck speckled with black. Blue wing patch. An extrodinarily large spoon-shaped bill. Iridescent green head, rusty sides and white breast"
Blue Grouse,,"Brown, Gray, Yellow, Orange",20,,,Dendragapus obscurus,A mottled brown chicken-like bird with a gray belly. Yellow-orange patch of skin above the eyes. Tail is dark brown and squared off.
Great horned owl,,"Brown, Yellow",25,,,Bubo virginianus,"Robust brown ""horned"" owl. Bright yellow eyes and V-shaped white throat resembling a necklace. Horizontal barring on chest"
Long billed curlew,,"Cinnamon, Blue, Brown",23,,,Numenius americanus,"Cinnamon brown with an extremely long, down-curved bill. Long bluish legs. Darker cinnamon wings linings, seen in flight."
Northern Pintail,,"Brown, White, Gray, Black",26,,,Anas acuta,"A slender, elegant duck with a brown head, wihte neck, gray body and extremely long narrow black tail. Gray bill. Non-breeding has a pale brown head that lacks the clear demarcation between the brown head and white neck. Lacks long tail feathers."
Mallard,,"Green, White, Brown, Rust, Chestnut, Gray, Yellow, Orange",28,,,Anas platyrhynchos,"Large bulbous green head, white necklace, rust brown or chestnut, combination of gray and white on the sides, yellow bill, orange legs and feet."
Ring-necked pheasant,,"Gold, Brown, White, Purple, Green, Blue, Red",36,,,Phasianus colchicus,"Golden brown body with a long tail. White ring around neck with  purple, green, blue, and red head."
Wild Turkey,,"Brown, Bronze, Blue, Red, Black",48,,,Meleagris gallopavo,"Large, plump brown and bronze bird with striking blue and red bare head. Fan tail and long, straight black beard in center of chest. Spurs on legs."
Ruby-crowned kinglet,,"Green, Gray, White, Red",4,,,Regulus calendula,"Small, teardrop-shaped green-to-gray bird. Two white wing bars. Hidden ruby-colored crown. White eye-ring."
Pygmy Nuthatch,,"Gray, Blue, Brown, Cream, Black",4,,,Sitta pygmaea,"Tiny gray-blue black bird with gray-brown crown. Creamy chest with a lighter chin. A relatively short tail, large head and loong bill."
Mountain Chickadee,,"Gray, Black, White",5.5,,,Poecile gambeli,"Overall gray with a black cap, chin nd line through eyes. White eyebrows."
